iter	Passed	Remaining
653	2796	1479
654	2802	1475
655	2806	1471
656	2811	1467
657	2815	1463
658	2819	1459
659	2823	1454
660	2828	1450
661	2834	1447
662	2838	1443
663	2843	1438
664	2848	1435
665	2853	1430
666	2857	1426
667	2862	1422
668	2870	1420
669	2875	1416
670	2879	1411
671	2884	1408
672	2889	1403
673	2896	1400
674	2900	1396
675	2905	1392
676	2911	1389
677	2917	1385
678	2921	1381
679	2929	1378
680	2933	1374
681	2938	1370
682	2942	1365
683	2947	1361
684	2951	1357
685	2955	1352
686	2959	1348
687	2963	1343
688	2967	1339
689	2973	1335
690	2977	1331
691	2981	1327
692	2985	1322
693	2989	1318
694	2993	1313
695	3001	1310
696	3006	1306
697	3010	1302
698	3014	1298
699	3019	1294
700	3023	1289
701	3027	1285
702	3031	1280
703	3035	1276
704	3039	1271
705	3043	1267
706	3051	1264
707	3055	1260
708	3062	1256
709	3066	1252
710	3070	1248
711	3075	1243
712	3079	1239
713	3084	1235
714	3089	1231
715	3092	1226
716	3097	1222
717	3101	1218
718	3105	1213
719	3110	1209
720	3114	1205
721	3119	1201
722	3124	1197
723	3129	1192
724	3133	1188
725	3137	1184
726	3141	1179
727	3145	1175
728	3149	1170
729	3153	1166
730	3157	1162
731	3162	1157
732	3166	1153
733	3170	1149
734	3174	1144
735	3178	1140
736	3183	1135
737	3187	1131
738	3191	1127
739	3195	1122
740	3199	1118
741	3203	1113
742	3207	1109
743	3211	1104
744	3215	1100
745	3219	1096
746	3223	1091
747	3227	1087
748	3231	1082
749	3236	1078
750	3240	1074
751	3244	1069
752	3248	1065
753	3252	1061
754	3256	1056
755	3260	1052
756	3264	1047
757	3267	1043
758	3272	1038
759	3276	1034
760	3280	1030
761	3285	1026
762	3289	1021
763	3293	1017
764	3297	1012
765	3301	1008
766	3305	1004
767	3309	999
768	3313	995
769	3317	990
770	3321	986
771	3326	982
772	3330	977
773	3334	973
774	3339	969
775	3345	965
776	3349	961
777	3353	956
778	3356	952
779	3360	947
780	3365	943
781	3370	939
782	3374	935
783	3378	930
784	3382	926
785	3390	923
786	3394	918
787	3399	914
788	3403	910
789	3407	905
790	3411	901
791	3415	897
792	3419	892
793	3426	888
794	3431	884
795	3434	880
796	3439	875
797	3442	871
798	3446	867
799	3450	862
800	3454	858
801	3458	853
802	3461	849
803	3466	844
804	3470	840
805	3474	836
806	3478	831
807	3482	827
808	3490	823
809	3493	819
810	3497	815
811	3501	810
812	3505	806
813	3510	802
814	3514	797
815	3517	793
816	3522	789
817	3526	784
818	3532	780
819	3535	776
820	3540	771
821	3544	767
822	3549	763
823	3552	758
824	3559	754
825	3562	750
826	3567	746
827	3571	741
828	3575	737
829	3579	733
830	3584	728
831	3588	724
832	3592	720
833	3596	715
834	3600	711
835	3604	707
836	3609	703
837	3614	698
838	3618	694
839	3622	690
840	3626	685
841	3633	681
842	3638	677
843	3643	673
844	3650	669
845	3654	665
846	3659	660
847	3663	656
848	3667	652
849	3672	648
850	3676	643
851	3683	639
852	3687	635
853	3692	631
854	3697	627
855	3701	622
856	3706	618
857	3710	614
858	3714	609
859	3718	605
860	3723	601
861	3729	596
862	3733	592
863	3737	588
864	3742	584
865	3747	579
866	3750	575
867	3754	570
868	3758	566
869	3762	562
870	3766	557
871	3770	553
872	3778	549
873	3783	545
874	3787	541
875	3792	536
876	3797	532
877	3801	528
878	3806	523
879	3810	519
880	3814	515
881	3819	510
882	3823	506
883	3827	502
884	3831	497
885	3836	493
886	3840	489
887	3844	484
888	3848	480
889	3852	476
890	3856	471
891	3862	467
892	3865	463
893	3869	458
894	3873	454
895	3877	450
896	3882	445
897	3886	441
898	3890	437
899	3894	432
900	3898	428
901	3902	423
902	3906	419
903	3910	415
904	3915	410
905	3919	406
906	3923	402
907	3928	398
908	3932	393
909	3936	389
910	3940	384
911	3944	380
912	3948	376
913	3953	371
914	3957	367
915	3961	363
916	3968	359
917	3972	354
918	3977	350
919	3981	346
920	3985	341
921	3990	337
922	3994	333
923	3999	328
924	4008	324
925	4012	320
926	4017	316
927	4022	312
928	4026	307
929	4030	303
930	4035	299
931	4038	294
932	4043	290
933	4046	285
934	4051	281
935	4054	277
936	4060	273
937	4064	268
938	4068	264
939	4072	259
940	4076	255
941	4080	251
942	4084	246
943	4089	242
944	4092	238
945	4096	233
946	4100	229
947	4104	225
948	4108	220
949	4112	216
950	4116	212
951	4120	207
952	4125	203
953	4130	199
954	4134	194
955	4138	190
956	4142	186
957	4146	181
958	4151	177
959	4155	173
960	4160	168
961	4164	164
962	4168	160
963	4172	155
964	4176	151
965	4180	147
966	4184	142
967	4189	138
968	4192	134
969	4197	129
970	4201	125
971	4207	121
972	4210	116
973	4214	112
974	4218	108
975	4222	103
976	4226	99
977	4230	95
978	4237	90
979	4242	86
980	4246	82
981	4251	77
982	4255	73
983	4260	69
984	4264	64
985	4269	60
986	4273	56
987	4278	51
988	4282	47
989	4287	43
990	4291	38
991	4295	34
992	4299	30
993	4304	25
994	4309	21
995	4314	17
996	4319	12
997	4323	8
998	4327	4
999	4333	0
